type_qid,type_label,sample_size,total_properties,mandatory_count,common_count,optional_count,top_mandatory,top_common
Q41176,Q41176,1,66,66,0,0,"P373;P31;P910;P646;P227",""
Q118140435,Q118140435,1,170,170,0,0,"P1297;P112;P227;P355;P452",""
Q2178147,Q2178147,1,71,71,0,0,"P948;P159;P227;P214;P244",""
Q41108733,Q41108733,1,103,103,0,0,"P190;P17;P47;P373;P281",""
Q5284036,Q5284036,1,107,107,0,0,"P31;P373;P349;P625;P910",""
Q103229495,Q103229495,1,93,93,0,0,"P138;P17;P115;P31;P286",""
Q783953,Q783953,1,35,35,0,0,"P373;P94;P625;P131;P30",""
Q26934845,Q26934845,1,35,35,0,0,"P373;P94;P625;P131;P30",""
Q1320047,Q1320047,1,51,51,0,0,"P31;P112;P646;P159;P856",""
Q1276157,Q1276157,1,51,51,0,0,"P31;P112;P646;P159;P856",""
Q182683,Q182683,1,19,19,0,0,"P373;P910;P131;P856;P112",""
Q1330974,Q1330974,1,86,86,0,0,"P31;P373;P625;P227;P948",""
Q192611,Q192611,1,237,237,0,0,"P1465;P1245;P1151;P38;P373",""
Q161243,Q161243,1,237,237,0,0,"P1465;P1245;P1151;P38;P373",""
Q788176,Q788176,1,237,237,0,0,"P1465;P1245;P1151;P38;P373",""
Q9430,Q9430,1,132,132,0,0,"P138;P935;P373;P508;P31",""
Q165,Q165,1,132,132,0,0,"P138;P935;P373;P508;P31",""
Q1358919,Q1358919,1,14,14,0,0,"P373;P17;P18;P131;P31",""
Q2352616,Q2352616,1,22,22,0,0,"P373;P646;P571;P856;P31",""
Q1417728,Q1417728,1,33,33,0,0,"P31;P112;P910;P646;P159",""
Q1414729,Q1414729,1,33,33,0,0,"P31;P112;P910;P646;P159",""
Q2679157,Q2679157,1,93,93,0,0,"P1036;P373;P17;P158;P94",""
Q27554677,Q27554677,1,93,93,0,0,"P1036;P373;P17;P158;P94",""
Q1391517,Q1391517,1,19,19,0,0,"P910;P646;P571;P31;P856",""
Q15105893,Q15105893,1,69,69,0,0,"P1465;P1036;P373;P41;P17",""
Q202805,Q202805,1,8,8,0,0,"P31;P227;P2671;P244;P8189",""
Q6982012,Q6982012,1,53,53,0,0,"P276;P31;P585;P625;P373",""
Q4698343,Q4698343,1,53,53,0,0,"P276;P31;P585;P625;P373",""
Q261543,Q261543,1,122,122,0,0,"P1036;P17;P194;P36;P94",""
Q3778211,Q3778211,1,5,5,0,0,"P31;P17;P1001;P2541;P1889",""
Q1381899,Q1381899,1,134,134,0,0,"P190;P373;P17;P31;P138",""
Q1074523,Q1074523,1,134,134,0,0,"P190;P373;P17;P31;P138",""
Q11691,Q11691,1,32,32,0,0,"P571;P31;P414;P361;P856",""
Q475000,Q475000,1,32,32,0,0,"P571;P31;P414;P361;P856",""
