id,code,prefix,start,end,label
G521-539,G521-539,G,521.0,539.0,"Adventures, shipwrecks, buried treasure, etc."
G540-550,G540-550,G,540.0,550.0,"Seafaring life, ocean travel, etc."
G575-890,G575-890,G,575.0,890.0,Arctic and Antarctic regions
G905-910,G905-910,G,905.0,910.0,Tropics (General)
G912-922,G912-922,G,912.0,922.0,Northern and Southern Hemispheres
G1000-3122,G1000-3122,G,1000.0,3122.0,Atlases
G1000-1000.5,G1000-1000.5,G,1000.0,1000.5,"Atlases of the moon, planets, etc."
G1001-1046,G1001-1046,G,1001.0,1046.0,World atlases.  Atlases of the Earth
G1050-1052,G1050-1052,G,1050.0,1052.0,Northern and Southern Hemispheres
G1053,G1053,G,1053.0,1053.0,Tropics.  Torrid Zone
G1054-1055,G1054-1055,G,1054.0,1055.0,Polar regions.  Frigid Zone
G1059-1061,G1059-1061,G,1059.0,1061.0,Maritime atlases (General)
G1100-3102,G1100-3102,G,1100.0,3102.0,By region or country
G1100-1779,G1100-1779,G,1100.0,1779.0,America.  Western Hemisphere
G1105-1692,G1105-1692,G,1105.0,1692.0,North America
G1110-1114,G1110-1114,G,1110.0,1114.0,Greenland
G1115-(1193),G1115-(1193),G,1115.0,1193.0,Canada
G1200-1534.24,G1200-1534.24,G,1200.0,1534.24,United States
G1535-1537,G1535-1537,G,1535.0,1537.0,Caribbean area
G1540-1542,G1540-1542,G,1540.0,1542.0,Latin America (General)
G1545-1549,G1545-1549,G,1545.0,1549.0,Mexico
G1550-(1594),G1550-(1594),G,1550.0,1594.0,Central America
G1600-1692,G1600-1692,G,1600.0,1692.0,West Indies
G1700-1779,G1700-1779,G,1700.0,1779.0,South America
G1780-2799,G1780-2799,G,1780.0,2799.0,"Eastern Hemisphere.  Eurasia, Africa, etc."
G1791-2196,G1791-2196,G,1791.0,2196.0,Europe
G2110-2196,G2110-2196,G,2110.0,2196.0,Former Soviet republics.  Union of Soviet Socialist Republics (U.S.S.R.).  Russia (Empire)
G2200-2444.84,G2200-2444.84,G,2200.0,2444.84,Asia
G2445-2739,G2445-2739,G,2445.0,2739.0,Africa
G2740-2799,G2740-2799,G,2740.0,2799.0,Australasia
G2800-3064,G2800-3064,G,2800.0,3064.0,Oceans (General)
G3100-3102,G3100-3102,G,3100.0,3102.0,Antarctica
G3122,G3122,G,3122.0,3122.0,"Atlases of imaginary, literary, and mythological regions, etc., A-Z"
G3160-3171,G3160-3171,G,3160.0,3171.0,Globes
G3180-9980,G3180-9980,G,3180.0,9980.0,Maps
G3180-3182,G3180-3182,G,3180.0,3182.0,Universe.  Solar system
G3190-3191,G3190-3191,G,3190.0,3191.0,Celestial maps
G3195-3197,G3195-3197,G,3195.0,3197.0,Moon
G3200-3202,G3200-3202,G,3200.0,3202.0,World.  Earth
G3210-3221,G3210-3221,G,3210.0,3221.0,Northern and Southern Hemispheres
G3240-3241,G3240-3241,G,3240.0,3241.0,Tropics.  Torrid Zone
G3250-3251,G3250-3251,G,3250.0,3251.0,Temperate Zone
G3260-3272,G3260-3272,G,3260.0,3272.0,Polar regions.  Frigid Zone
G3290-9880,G3290-9880,G,3290.0,9880.0,By region or country
G3290-5667,G3290-5667,G,3290.0,5667.0,America.  Western Hemisphere
G3300-5184,G3300-5184,G,3300.0,5184.0,North America
G3380-3384,G3380-3384,G,3380.0,3384.0,Greenland
G3400-(3612),G3400-(3612),G,3400.0,3612.0,Canada
G3700-4384,G3700-4384,G,3700.0,4384.0,United States
G4390-4392,G4390-4392,G,4390.0,4392.0,Caribbean area
G4410-4763,G4410-4763,G,4410.0,4763.0,Mexico
G4800-4874,G4800-4874,G,4800.0,4874.0,Central America
G4900-5184,G4900-5184,G,4900.0,5184.0,West Indies
G5200-5667,G5200-5667,G,5200.0,5667.0,South America
G5670-8904,G5670-8904,G,5670.0,8904.0,"Eastern Hemisphere.  Eurasia, Africa, etc."
G5700-7342,G5700-7342,G,5700.0,7342.0,Europe
G7000-7342,G7000-7342,G,7000.0,7342.0,Former Soviet republics.  Union of Soviet Socialist Republics (U.S.S.R.).  Russia (Empire)
G7400-8198.54,G7400-8198.54,G,7400.0,8198.54,Asia
G8200-8904,G8200-8904,G,8200.0,8904.0,Africa
G8950-9084,G8950-9084,G,8950.0,9084.0,Australasia
G9095-9794,G9095-9794,G,9095.0,9794.0,Oceans (General)
G9800-9804,G9800-9804,G,9800.0,9804.0,Antarctica
G9900-9980,G9900-9980,G,9900.0,9980.0,Unlocalized maps
GA1-1776,GA1-1776,GA,1.0,1776.0,Mathematical geography.  Cartography
GA51-87,GA51-87,GA,51.0,87.0,Surveys (General)
GA101-1776,GA101-1776,GA,101.0,1776.0,Cartography
GA109,GA109,GA,109.0,109.0,Aerial cartography
GA109.5,GA109.5,GA,109.5,109.5,Cadastral mapping
GA109.8,GA109.8,GA,109.8,109.8,Statistical mapping
GA110-115,GA110-115,GA,110.0,115.0,Projection
GA125-155,GA125-155,GA,125.0,155.0,"Map drawing, modeling, printing, reading, etc."
GA192-197.3,GA192-197.3,GA,192.0,197.3,"Collections of maps, globes, etc.  Map libraries"
GA197.5-198,GA197.5-198,GA,197.5,198.0,Cartographers
GA260-288,GA260-288,GA,260.0,288.0,Globe making.  Globes
GA300-325,GA300-325,GA,300.0,325.0,"World maps, general atlases, etc."
GA341-1776,GA341-1776,GA,341.0,1776.0,Maps.  By region or country
GB3-5030,GB3-5030,GB,3.0,5030.0,Physical geography
GB400-649,GB400-649,GB,400.0,649.0,Geomorphology.  Landforms.  Terrain
GB447,GB447,GB,447.0,447.0,Climatic geomorphology
GB448,GB448,GB,448.0,448.0,Slopes
GB450-460,GB450-460,GB,450.0,460.0,Coasts
GB461-468.995,GB461-468.995,GB,461.0,468.995,Reefs
GB471-478.995,GB471-478.995,GB,471.0,478.995,Islands
GB500-555,GB500-555,GB,500.0,555.0,Mountains.  Orography
GB561-649,GB561-649,GB,561.0,649.0,"Other natural landforms: Floodplains, caves, deserts, dunes, etc."
GB651-2998,GB651-2998,GB,651.0,2998.0,Hydrology.  Water
GB980-2998,GB980-2998,GB,980.0,2998.0,Ground and surface waters
GB980-992,GB980-992,GB,980.0,992.0,Watersheds.  Runoff.  Drainage
GB1001-1199.8,GB1001-1199.8,GB,1001.0,1199.8,Groundwater.  Hydrogeology
GB1201-1598,GB1201-1598,GB,1201.0,1598.0,Rivers.  Stream measurements
GB1601-2398,GB1601-2398,GB,1601.0,2398.0,Lakes.  Limnology.  Ponds.  Lagoons
GB2401-2598,GB2401-2598,GB,2401.0,2598.0,Ice.  Glaciers.  Ice sheets.  Sea ice
GB2601-2798,GB2601-2798,GB,2601.0,2798.0,Snow.  Snow surveys
GB2801-2998,GB2801-2998,GB,2801.0,2998.0,Hydrometeorology GB5000-5030                             Natural disasters
GC1-1581,GC1-1581,GC,1.0,1581.0,Oceanography
GC63,GC63,GC,63.0,63.0,Oceanographic expeditions
GC65-78,GC65-78,GC,65.0,78.0,Underwater exploration
GC83-87.6,GC83-87.6,GC,83.0,87.6,Submarine topography
GC96-97.8,GC96-97.8,GC,96.0,97.8,Estuarine oceanography
GC100-103,GC100-103,GC,100.0,103.0,Seawater
GC109-149,GC109-149,GC,109.0,149.0,Chemical oceanography
GC150-182,GC150-182,GC,150.0,182.0,Physical oceanography
GC151-155,GC151-155,GC,151.0,155.0,Density
