?item	?itemLabel	?startDate	?endDate	?location	?locationLabel	?instanceOf	?instanceOfLabel	?partOf	?partOfLabel	?follows	?followsLabel	?followedBy	?followedByLabel	?subclassOf	?subclassOfLabel	?commonsCategory	?lcnaf
<http://www.wikidata.org/entity/Q114868851>	Lagash II Period@en	-2199-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2099-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q419594>	Akkad period@en	<http://www.wikidata.org/entity/Q109384761>	Ur III period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114868885>	Linear Elamite Period@en	-2199-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-1999-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q29297301>	Old Elamite period@en	<http://www.wikidata.org/entity/Q29297151>	Middle Elamite period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114868919>	Middle Assyrian Period@en	-1399-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0999-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q15782728>	Old-Assyrian period@en	<http://www.wikidata.org/entity/Q114869081>	Neo Assyrian Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114869008>	Middle Hittite Period@en	-1499-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-1099-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q1471568>	Old Babylonian Period@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q114869081>	Neo Assyrian Period@en	-0910-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0611-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114868919>	Middle Assyrian Period@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q114869307>	Neo Babylonian Period@en	-0625-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0538-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q22809362>	Late Babylonian Period@en	<http://www.wikidata.org/entity/Q115667399>	Persian period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114877775>	Parthian Period@en	-0246-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0224-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q115667399>	Persian period@en	<http://www.wikidata.org/entity/Q114877788>	Sassanian Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114877788>	Sassanian Period@en	0224-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0641-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114877775>	Parthian Period@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q114877803>	Uruk III Period@en	-3199-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2999-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114877809>	Uruk IV Period@en	<http://www.wikidata.org/entity/Q99299898>	Early Dynastic I@en	null	null	null	null
<http://www.wikidata.org/entity/Q114877809>	Uruk IV Period@en	-3349-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-3199-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114877817>	Uruk V Period@en	<http://www.wikidata.org/entity/Q114877803>	Uruk III Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114877817>	Uruk V Period@en	-3499-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-3349-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114877825>	Pre-Writing Period@en	<http://www.wikidata.org/entity/Q114877809>	Uruk IV Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114877825>	Pre-Writing Period@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	<http://www.wikidata.org/entity/Q114877817>	Uruk V Period@en	null	null	null	null
