property,propertyLabel,propertyDescription,type
http://www.wikidata.org/entity/P399,companion of,two or more astronomic bodies of the same type relating to each other,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P402,OpenStreetMap relation ID,identifier for a relation in OpenStreetMap,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P403,mouth of the watercourse,the body of water to which the watercourse drains,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P404,game mode,video game's available playing mode(s),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P405,taxon author,the author(s) that (optionally) may be cited with the scientific name,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P407,language of work or name,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P408,software engine,software engine employed by the subject item,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P409,Libraries Australia ID,"identifier issued by the National Library of Australia (see also P1315 for the newer People Australia identifier). VIAF component. Format: 1-12 digits, removing leading zero-padding.",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P410,"military, police or special rank","military or police rank achieved by a person (should usually have a ""start time"" qualifier), or military or police rank associated with a position",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P411,canonization status,formal stage in the process of attaining sainthood per the subject's religious organization,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P413,position played on team / speciality,position or specialism of a player on a team,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P414,stock exchange,exchange on which this company is traded,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P415,radio format,describes the overall content broadcast on a radio station,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P416,quantity symbol (string),symbol for a mathematical or physical quantity,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P417,patron saint,patron saint adopted by the subject,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P418,"has seal, badge, or sigil",links to the item for the subject's seal,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P421,located in time zone,time zone for this item,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P423,shooting handedness,whether the hockey player passes or shoots left- or right-handed,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P424,Wikimedia language code,identifier for a language or variant as used by Wikimedia projects,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)",http://wikiba.se/ontology#WikibaseItem
