id,label,federation,domain,uri,concept_ref,temporal_start,temporal_end,survey_depth,is_seed,prefix,start,end
E376-380,"John Quincy Adams' administration, 1825-1829",lcc,lcc,https://id.loc.gov/authorities/classification/E376-380,https://id.loc.gov/authorities/classification/E376-380,,,0,False,E,376.0,380.0
E381-385,"Jackson's administrations, 1829-1837",lcc,lcc,https://id.loc.gov/authorities/classification/E381-385,https://id.loc.gov/authorities/classification/E381-385,,,0,False,E,381.0,385.0
E384.3,Nullification,lcc,lcc,https://id.loc.gov/authorities/classification/E384.3,https://id.loc.gov/authorities/classification/E384.3,,,0,False,E,384.3,384.3
E386-390,"Van Buren's administration, 1837-1841",lcc,lcc,https://id.loc.gov/authorities/classification/E386-390,https://id.loc.gov/authorities/classification/E386-390,,,0,False,E,386.0,390.0
E391-392,"William H. Harrison's administration, March 4- April 4, 1841",lcc,lcc,https://id.loc.gov/authorities/classification/E391-392,https://id.loc.gov/authorities/classification/E391-392,,,0,False,E,391.0,392.0
E396-400,"Tyler's administration, April 4, 1841-1845",lcc,lcc,https://id.loc.gov/authorities/classification/E396-400,https://id.loc.gov/authorities/classification/E396-400,,,0,False,E,396.0,400.0
E398,"Northeastern boundary disputes, 1783-1845 E401-415.2                                        Mexican War, 1846-1848",lcc,lcc,https://id.loc.gov/authorities/classification/E398,https://id.loc.gov/authorities/classification/E398,,,0,False,E,398.0,398.0
E408,Mexican cessions of 1848,lcc,lcc,https://id.loc.gov/authorities/classification/E408,https://id.loc.gov/authorities/classification/E408,,,0,False,E,408.0,408.0
E415.6-440.5,"Middle nineteenth century, 1845/1848-1861",lcc,lcc,https://id.loc.gov/authorities/classification/E415.6-440.5,https://id.loc.gov/authorities/classification/E415.6-440.5,,,0,False,E,415.6,440.5
E415.6-415.9,General,lcc,lcc,https://id.loc.gov/authorities/classification/E415.6-415.9,https://id.loc.gov/authorities/classification/E415.6-415.9,,,0,False,E,415.6,415.9
E415.6,Collected works of American statesmen,lcc,lcc,https://id.loc.gov/authorities/classification/E415.6,https://id.loc.gov/authorities/classification/E415.6,,,0,False,E,415.6,415.6
E415.8-415.9,Biography,lcc,lcc,https://id.loc.gov/authorities/classification/E415.8-415.9,https://id.loc.gov/authorities/classification/E415.8-415.9,,,0,False,E,415.8,415.9
E416-420,"Polk's administration, 1845-1849",lcc,lcc,https://id.loc.gov/authorities/classification/E416-420,https://id.loc.gov/authorities/classification/E416-420,,,0,False,E,416.0,420.0
E421-423,"Taylor's administration, 1849-July 9, 1850",lcc,lcc,https://id.loc.gov/authorities/classification/E421-423,https://id.loc.gov/authorities/classification/E421-423,,,0,False,E,421.0,423.0
E423,"Slavery question, 1849-1853",lcc,lcc,https://id.loc.gov/authorities/classification/E423,https://id.loc.gov/authorities/classification/E423,,,0,False,E,423.0,423.0
E426-430,"Fillmore's administration, July 9, 1850-1853",lcc,lcc,https://id.loc.gov/authorities/classification/E426-430,https://id.loc.gov/authorities/classification/E426-430,,,0,False,E,426.0,430.0
E431-435,"Pierce's administration, 1853-1857",lcc,lcc,https://id.loc.gov/authorities/classification/E431-435,https://id.loc.gov/authorities/classification/E431-435,,,0,False,E,431.0,435.0
E433,"Slavery question, 1853-1857",lcc,lcc,https://id.loc.gov/authorities/classification/E433,https://id.loc.gov/authorities/classification/E433,,,0,False,E,433.0,433.0
E436-440.5,"Buchanan's administration, 1857-1861",lcc,lcc,https://id.loc.gov/authorities/classification/E436-440.5,https://id.loc.gov/authorities/classification/E436-440.5,,,0,False,E,436.0,440.5
E438,"Slavery question, 1857-1861",lcc,lcc,https://id.loc.gov/authorities/classification/E438,https://id.loc.gov/authorities/classification/E438,,,0,False,E,438.0,438.0
E440.5,"State of the country, November 1860- March 4, 1861",lcc,lcc,https://id.loc.gov/authorities/classification/E440.5,https://id.loc.gov/authorities/classification/E440.5,,,0,False,E,440.5,440.5
E441-453,Slavery in the United States.  Antislavery movements,lcc,lcc,https://id.loc.gov/authorities/classification/E441-453,https://id.loc.gov/authorities/classification/E441-453,,,0,False,E,441.0,453.0
E456-655,"Civil War period, 1861-1865",lcc,lcc,https://id.loc.gov/authorities/classification/E456-655,https://id.loc.gov/authorities/classification/E456-655,,,0,False,E,456.0,655.0
E456-459,"Lincoln's administrations, 1861-April 15, 1865",lcc,lcc,https://id.loc.gov/authorities/classification/E456-459,https://id.loc.gov/authorities/classification/E456-459,,,0,False,E,456.0,459.0
E461-655,"The Civil War, 1861-1865",lcc,lcc,https://id.loc.gov/authorities/classification/E461-655,https://id.loc.gov/authorities/classification/E461-655,,,0,False,E,461.0,655.0
E482-489,Confederate States of America,lcc,lcc,https://id.loc.gov/authorities/classification/E482-489,https://id.loc.gov/authorities/classification/E482-489,,,0,False,E,482.0,489.0
E491-586,Armies.  Troops,lcc,lcc,https://id.loc.gov/authorities/classification/E491-586,https://id.loc.gov/authorities/classification/E491-586,,,0,False,E,491.0,586.0
E591-600,Naval history,lcc,lcc,https://id.loc.gov/authorities/classification/E591-600,https://id.loc.gov/authorities/classification/E591-600,,,0,False,E,591.0,600.0
E660-738,"Late nineteenth century, 1865-1900",lcc,lcc,https://id.loc.gov/authorities/classification/E660-738,https://id.loc.gov/authorities/classification/E660-738,,,0,False,E,660.0,738.0
E660-664,General,lcc,lcc,https://id.loc.gov/authorities/classification/E660-664,https://id.loc.gov/authorities/classification/E660-664,,,0,False,E,660.0,664.0
E660,Collected works of American statesmen,lcc,lcc,https://id.loc.gov/authorities/classification/E660,https://id.loc.gov/authorities/classification/E660,,,0,False,E,660.0,660.0
E661.7,Diplomatic history.  Foreign and general relations,lcc,lcc,https://id.loc.gov/authorities/classification/E661.7,https://id.loc.gov/authorities/classification/E661.7,,,0,False,E,661.7,661.7
E663-664,Biography,lcc,lcc,https://id.loc.gov/authorities/classification/E663-664,https://id.loc.gov/authorities/classification/E663-664,,,0,False,E,663.0,664.0
E666-670,"Johnson's administration, April 15, 1865-1869",lcc,lcc,https://id.loc.gov/authorities/classification/E666-670,https://id.loc.gov/authorities/classification/E666-670,,,0,False,E,666.0,670.0
E668,"Reconstruction, 1865-1877",lcc,lcc,https://id.loc.gov/authorities/classification/E668,https://id.loc.gov/authorities/classification/E668,,,0,False,E,668.0,668.0
E669,"Purchase of Alaska, 1867",lcc,lcc,https://id.loc.gov/authorities/classification/E669,https://id.loc.gov/authorities/classification/E669,,,0,False,E,669.0,669.0
E671-680,"Grant's administrations, 1869-1877",lcc,lcc,https://id.loc.gov/authorities/classification/E671-680,https://id.loc.gov/authorities/classification/E671-680,,,0,False,E,671.0,680.0
E681-685,"Hayes' administration, 1877-1881",lcc,lcc,https://id.loc.gov/authorities/classification/E681-685,https://id.loc.gov/authorities/classification/E681-685,,,0,False,E,681.0,685.0
E686-687.9,"Garfield's administration, March 4-September 19, 1881",lcc,lcc,https://id.loc.gov/authorities/classification/E686-687.9,https://id.loc.gov/authorities/classification/E686-687.9,,,0,False,E,686.0,687.9
E691-695,"Arthur's administration, September 19, 1881-1885",lcc,lcc,https://id.loc.gov/authorities/classification/E691-695,https://id.loc.gov/authorities/classification/E691-695,,,0,False,E,691.0,695.0
E696-700,"Cleveland's first administration, 1885-1889",lcc,lcc,https://id.loc.gov/authorities/classification/E696-700,https://id.loc.gov/authorities/classification/E696-700,,,0,False,E,696.0,700.0
E701-705,"Benjamin Harrison's administration, 1889-1893",lcc,lcc,https://id.loc.gov/authorities/classification/E701-705,https://id.loc.gov/authorities/classification/E701-705,,,0,False,E,701.0,705.0
E706-710,"Cleveland's second administration, 1893-1897",lcc,lcc,https://id.loc.gov/authorities/classification/E706-710,https://id.loc.gov/authorities/classification/E706-710,,,0,False,E,706.0,710.0
E711-738,"McKinley's first administration, 1897-1901",lcc,lcc,https://id.loc.gov/authorities/classification/E711-738,https://id.loc.gov/authorities/classification/E711-738,,,0,False,E,711.0,738.0
E713,"Annexation in 1898 of Hawaii, the Philippines, and Puerto Rico",lcc,lcc,https://id.loc.gov/authorities/classification/E713,https://id.loc.gov/authorities/classification/E713,,,0,False,E,713.0,713.0
E714-735,War of 1898 (Spanish-American War),lcc,lcc,https://id.loc.gov/authorities/classification/E714-735,https://id.loc.gov/authorities/classification/E714-735,,,0,False,E,714.0,735.0
E740-837.7,Twentieth century,lcc,lcc,https://id.loc.gov/authorities/classification/E740-837.7,https://id.loc.gov/authorities/classification/E740-837.7,,,0,False,E,740.0,837.7
E740-749,General,lcc,lcc,https://id.loc.gov/authorities/classification/E740-749,https://id.loc.gov/authorities/classification/E740-749,,,0,False,E,740.0,749.0
E740.5,Sources and documents,lcc,lcc,https://id.loc.gov/authorities/classification/E740.5,https://id.loc.gov/authorities/classification/E740.5,,,0,False,E,740.5,740.5
E742.5,Collected works of American statesmen,lcc,lcc,https://id.loc.gov/authorities/classification/E742.5,https://id.loc.gov/authorities/classification/E742.5,,,0,False,E,742.5,742.5
E743-743.5,Political history,lcc,lcc,https://id.loc.gov/authorities/classification/E743-743.5,https://id.loc.gov/authorities/classification/E743-743.5,,,0,False,E,743.0,743.5
E743.5,Un-American activities,lcc,lcc,https://id.loc.gov/authorities/classification/E743.5,https://id.loc.gov/authorities/classification/E743.5,,,0,False,E,743.5,743.5
E744-744.5,Diplomatic history.  Foreign and general relations,lcc,lcc,https://id.loc.gov/authorities/classification/E744-744.5,https://id.loc.gov/authorities/classification/E744-744.5,,,0,False,E,744.0,744.5
E745,Military history,lcc,lcc,https://id.loc.gov/authorities/classification/E745,https://id.loc.gov/authorities/classification/E745,,,0,False,E,745.0,745.0
E746,Naval history,lcc,lcc,https://id.loc.gov/authorities/classification/E746,https://id.loc.gov/authorities/classification/E746,,,0,False,E,746.0,746.0
E747-748,Biography,lcc,lcc,https://id.loc.gov/authorities/classification/E747-748,https://id.loc.gov/authorities/classification/E747-748,,,0,False,E,747.0,748.0
E751,"McKinley's second administration, March 4- September 14, 1901",lcc,lcc,https://id.loc.gov/authorities/classification/E751,https://id.loc.gov/authorities/classification/E751,,,0,False,E,751.0,751.0
