id,label,federation,domain,uri,alt_labels,scope_note,temporal_range,spatial_anchor,concept_ref,person_ref,text_ref,event_ref,wikidata_qid,properties,aligned_ids,status,pattern_type,survey_depth
p06vx8j54bp,Epoca antică,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j54bp,[],,"[-649, 620]",http://www.wikidata.org/entity/Q188505,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Coasta de Vest a Mării Negre (Dobrogea)', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q188505', 'http://www.wikidata.org/entity/Q191078']}",{},raw,UNKNOWN,0
p06vx8j5vf2,Epoca greaca arhaica,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j5vf2,[],,"[-649, -479]",http://www.wikidata.org/entity/Q188505,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Coasta de Vest a Mării Negre (Dobrogea)', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/5G7KVADS/item-list. https://www.zotero.org/groups/269098/periodo/items/THIWQRBI/item-list. https://www.zotero.org/groups/269098/periodo/items/LXIMS4AQ/item-list.  https://www.zotero.org/groups/269098/periodo/items/MG9Y2SHX/item-list. https://www.zotero.org/groups/269098/periodo/items/XVUS7DRR/item-list.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q188505', 'http://www.wikidata.org/entity/Q191078']}",{},raw,UNKNOWN,0
p06vx8j92k5,Epoca greaca clasica,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j92k5,[],,"[-479, -322]",http://www.wikidata.org/entity/Q188505,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Coasta de Vest a Mării Negre (Dobrogea)', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q188505', 'http://www.wikidata.org/entity/Q191078']}",{},raw,UNKNOWN,0
p06vx8jm2hj,Epoca elenistică,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jm2hj,[],,"[-322, -27]",http://www.wikidata.org/entity/Q191078,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Coasta de Vest a Mării Negre (Dobrogea)', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/23TBTAGQ/item-list. https://www.zotero.org/groups/269098/periodo/items/J6GJER6M/item-list. https://www.zotero.org/groups/269098/periodo/items/65Z2J7AX/item-list.  https://www.zotero.org/groups/269098/periodo/items/9EXKZ9QN/item-list. https://www.zotero.org/groups/269098/periodo/items/K47BBL6W/item-list.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q191078', 'http://www.wikidata.org/entity/Q188505']}",{},raw,UNKNOWN,0
p06vx8j7pf6,Poienesti-Lukasevka,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j7pf6,[],,"[-199, -19]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/RI9NMZSK/item-list. https://www.zotero.org/groups/269098/periodo/items/BXQXIGT3/item-list.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8jwc79,cultura geto-dacica clasica,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jwc79,[],,"[-174, 106]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/PV95GDXS/item-list.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8jz638,Regatul Traciei,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jz638,[],,"[-27, 46]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/E4IRPSB7/library. https://www.zotero.org/groups/269098/periodo/items/NWC5I36B/library. https://www.zotero.org/groups/269098/periodo/items/2JCQP698/library. https://www.zotero.org/groups/269098/periodo/items/AGPJGVQS/library. https://www.zotero.org/groups/269098/periodo/items/M8UHBM9A/library. https://www.zotero.org/groups/269098/periodo/collections/7GP8GVDT/items/SU4TDP3A/item-list.\nhttps://www.zotero.org/groups/269098/periodo/collections/7GP8GVDT/items/NG4F4WS3/item-list. https://www.zotero.org/groups/269098/periodo/collections/7GP8GVDT/items/8HDC56QZ/item-list.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8jwn8n,Ciumbrud,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jwn8n,[],,"[-649, -449]",http://www.wikidata.org/entity/Q182624,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Transilvania', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/PUIFWMWQ/library. https://www.zotero.org/groups/269098/periodo/items/9EXKZ9QN/library. https://www.zotero.org/groups/269098/periodo/items/8746EREN/library.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q182624', 'http://www.wikidata.org/entity/Q190690', 'http://www.wikidata.org/entity/Q191071', 'http://www.wikidata.org/entity/Q45868', 'http://www.wikidata.org/entity/Q184797', 'http://www.wikidata.org/entity/Q182614', 'http://www.wikidata.org/entity/Q188959', 'http://www.wikidata.org/entity/Q190711', 'http://www.wikidata.org/entity/Q181513', 'http://www.wikidata.org/entity/Q190702']}",{},raw,UNKNOWN,0
p06vx8jm2rm,Vekerzug,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jm2rm,[],,"[-649, -499]",http://www.wikidata.org/entity/Q179588,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Campia Tisei, Crisana', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/9EXKZ9QN/library.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q179588', 'http://www.wikidata.org/entity/Q179559']}",{},raw,UNKNOWN,0
p06vx8jgsr6,Ferigile,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jgsr6,[],,"[-649, -499]",http://www.wikidata.org/entity/Q188665,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Nordul Munteniei si nord-estul Olteniei', 'editorial_note': 'https://www.zotero.org/groups/269098/periodo/items/9EXKZ9QN/library.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q188665', 'http://www.wikidata.org/entity/Q188797', 'http://www.wikidata.org/entity/Q179567', 'http://www.wikidata.org/entity/Q185309', 'http://www.wikidata.org/entity/Q188503', 'http://www.wikidata.org/entity/Q186838']}",{},raw,UNKNOWN,0
