id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,survey_depth,is_seed,place_type,lat,lon
348068,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348068,https://pleiades.stoa.org/places/348068,-30,640,0,False,road,32.0,12.0
348069,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348069,https://pleiades.stoa.org/places/348069,-330,640,0,False,road,32.0,12.0
348070,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348070,https://pleiades.stoa.org/places/348070,-30,300,0,False,road,32.0,12.0
348071,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348071,https://pleiades.stoa.org/places/348071,-30,640,0,False,road,32.0,12.0
348072,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348072,https://pleiades.stoa.org/places/348072,-30,300,0,False,road,32.0,12.0
348073,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348073,https://pleiades.stoa.org/places/348073,-30,640,0,False,road,32.0,12.0
348812,Untitled,pleiades,roman_republic,https://pleiades.stoa.org/places/348812,https://pleiades.stoa.org/places/348812,-30,300,0,False,quarry,32.5,14.5
349597,Hares/Haribus/Har/Phoar,pleiades,roman_republic,https://pleiades.stoa.org/places/349597,https://pleiades.stoa.org/places/349597,-330,2099,0,False,"unlocated, settlement-modern",33.7287283,10.8558574
354102,Bir esc-Sciueref,pleiades,roman_republic,https://pleiades.stoa.org/places/354102,https://pleiades.stoa.org/places/354102,-30,300,0,False,settlement,30.023261,14.336469
363912,Abd el-Firan,pleiades,roman_republic,https://pleiades.stoa.org/places/363912,https://pleiades.stoa.org/places/363912,-30,300,0,False,settlement,31.051414,16.703412
363920,Ammoniou Pegai,pleiades,roman_republic,https://pleiades.stoa.org/places/363920,https://pleiades.stoa.org/places/363920,-330,300,0,False,station,30.296074,19.423332
363921,Anabucis,pleiades,roman_republic,https://pleiades.stoa.org/places/363921,https://pleiades.stoa.org/places/363921,-330,640,0,False,station,30.261267,19.188848
363922,Annesel,pleiades,roman_republic,https://pleiades.stoa.org/places/363922,https://pleiades.stoa.org/places/363922,-30,300,0,False,station,31.364153,15.584823
