pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
108765,Atuatuca,"settlement, settlement-modern",-330,2100,2785389,,PPL,Q31558934,Tongeren,50.78065,5.46227,,,,,true,false,true,true,false
108765,Atuatuca,"settlement, settlement-modern",-330,2100,2785390,,ADM4,Q190113,Tongeren,50.7794,5.4631,,,,,true,false,true,true,false
108769,Augers-en-Brie,settlement,-30,2100,3036197,,PPL,,,,,,,,,false,false,true,false,false
108769,Augers-en-Brie,settlement,-30,2100,6451132,,ADM4,Q760408,Augers-en-Brie,48.680277777778,3.3572222222222,,,,,true,false,true,true,false
108771,[Augusta] Ambianorum,"sanctuary, theatre, plaza",-330,2100,3038796,,FRST,Q49327806,"bois l'Abbé (lasang sa Pransiya, Haute-Normandie)",50.027777777778,1.4591666666667,,,,,true,false,true,true,false
108772,Augusta Suessionum,settlement,-30,2100,2974388,,ADM3,Q702552,arrondissement of Soissons,49.333333333333,3.3333333333333,,,,,true,false,true,true,false
108772,Augusta Suessionum,settlement,-30,2100,2974389,,PPLA3,Q167152,Soissons,49.381111111111,3.3225,,,,,true,false,true,true,false
108772,Augusta Suessionum,settlement,-30,2100,6425246,,ADM4,,,,,,,,,false,false,true,false,false
108774,Augusta Viromanduorum,settlement,-30,2100,2977293,,ADM3,Q702444,arrondissement of Saint-Quentin,49.85,3.2666666666667,,,,,true,false,true,true,false
108774,Augusta Viromanduorum,settlement,-30,2100,2977295,,PPLA3,,,,,,,,,false,false,true,false,false
108774,Augusta Viromanduorum,settlement,-30,2100,6453541,,ADM4,Q182744,Saint-Quentin,49.847777777778,3.2855555555556,,,,,true,false,true,true,false
108775,Augustobona,settlement,-30,2100,2971548,,ADM3,Q702672,arrondissement of Troyes,48.3,4.06666667,,,,,true,false,true,true,false
108775,Augustobona,settlement,-30,2100,2971549,,PPLA2,Q5489,Troyes,48.298888888889,4.0780555555556,,,,,true,false,true,true,false
108775,Augustobona,settlement,-30,2100,6453634,,ADM4,,,,,,,,,false,false,true,false,false
108776,Augustomagus,settlement,-30,2100,2975086,,ADM3,Q596974,arrondissement of Senlis,49.2,2.58333,,,,,true,false,true,true,false
