pleiades_id,pleiades_url,place_label,place_type,min_date,max_date,geonames_id,geonames_url,geonames_label,match_type,distance_km,pleiades_location_precision,pleiades_feature_types,geonames_feature_code,geonames_feature_code_label
599517,http://pleiades.stoa.org/places/599517,Arkesine,settlement,-750,640,264639,http://sws.geonames.org/264639/,Arkesini,bbox,0.0,precise,settlement,PPL,populated place
599518,http://pleiades.stoa.org/places/599518,Arkonnesos (island),island,-30,2100,310397,http://sws.geonames.org/310397/,,bbox,0.0,precise,island,ISL,island
599535,http://pleiades.stoa.org/places/599535,Astypalaia (settlement),settlement,-750,640,264407,http://sws.geonames.org/264407/,Astypalaia,distance,3.305,precise,settlement,ISL,island
599535,http://pleiades.stoa.org/places/599535,Astypalaia (settlement),settlement,-750,640,264408,http://sws.geonames.org/264408/,Astypalaia,distance,0.319,precise,settlement,PPLA3,seat of a third-order administrative division
599535,http://pleiades.stoa.org/places/599535,Astypalaia (settlement),settlement,-750,640,8133811,http://sws.geonames.org/8133811/,,distance,4.909,precise,settlement,ADM3,third-order administrative division
599536,http://pleiades.stoa.org/places/599536,Astypalaia (island),island,-30,2099,264407,http://sws.geonames.org/264407/,Astypalaia,bbox,0.0,rough,island,ISL,island
599536,http://pleiades.stoa.org/places/599536,Astypalaia (island),island,-30,2099,264408,http://sws.geonames.org/264408/,Astypalaia,bbox,0.0,rough,island,PPLA3,seat of a third-order administrative division
599536,http://pleiades.stoa.org/places/599536,Astypalaia (island),island,-30,2099,8133811,http://sws.geonames.org/8133811/,,bbox,0.0,rough,island,ADM3,third-order administrative division
599550,http://pleiades.stoa.org/places/599550,Bargylia,"settlement, theatre",-550,1999,11395883,http://sws.geonames.org/11395883/,Bargylia,distance,0.037,precise,"settlement, theatre",PPLQ,abandoned populated place
599575,http://pleiades.stoa.org/places/599575,Cnidus (Tekir),settlement,-330,2100,6942516,http://sws.geonames.org/6942516/,,distance,0.378,precise,settlement,ANS,archaeological/prehistoric site
599581,http://pleiades.stoa.org/places/599581,Kos/Cos (island),island,-750,2100,259244,http://sws.geonames.org/259244/,Kos,distance,2.079,precise,island,ISL,island
599587,http://pleiades.stoa.org/places/599587,Delos (settlement),"settlement, monument",-750,300,263090,http://sws.geonames.org/263090/,Delos,distance,0.725,precise,"settlement, monument",ISL,island
599587,http://pleiades.stoa.org/places/599587,Delos (settlement),"settlement, monument",-750,300,263091,http://sws.geonames.org/263091/,Delos,distance,0.669,precise,"settlement, monument",ANS,archaeological/prehistoric site
599588,http://pleiades.stoa.org/places/599588,Delos (island),island,-750,2100,263090,http://sws.geonames.org/263090/,Delos,distance,0.236,precise,island,ISL,island
599588,http://pleiades.stoa.org/places/599588,Delos (island),island,-750,2100,263091,http://sws.geonames.org/263091/,Delos,distance,1.147,precise,island,ANS,archaeological/prehistoric site
599593,http://pleiades.stoa.org/places/599593,Didyma/Branchidai/Ioustinianopolis,"sanctuary, temple-2",-750,2100,297090,http://sws.geonames.org/297090/,,distance,0.031,precise,"sanctuary, temple-2",PPL,populated place
599593,http://pleiades.stoa.org/places/599593,Didyma/Branchidai/Ioustinianopolis,"sanctuary, temple-2",-750,2100,316743,http://sws.geonames.org/316743/,,distance,0.135,precise,"sanctuary, temple-2",ANS,archaeological/prehistoric site
599593,http://pleiades.stoa.org/places/599593,Didyma/Branchidai/Ioustinianopolis,"sanctuary, temple-2",-750,2100,8632405,http://sws.geonames.org/8632405/,,distance,3.433,precise,"sanctuary, temple-2",ADM2,second-order administrative division
599596,http://pleiades.stoa.org/places/599596,Donousa (island),island,1700,2100,262996,http://sws.geonames.org/262996/,Donoussa,distance,0.783,precise,island,PPL,populated place
599607,http://pleiades.stoa.org/places/599607,Eleusis,"settlement, settlement-modern",-550,2099,8134439,http://sws.geonames.org/8134439/,,bbox,0.0,rough,labeled feature,ANS,archaeological/prehistoric site
599612,http://pleiades.stoa.org/places/599612,Ephesus/Arsinoe(ia),"cemetery, gymnasium, archaeological-site, city-gate, settlement",-1200,2000,301256,http://sws.geonames.org/301256/,,distance,2.738,precise,"settlement, architecturalcomplex",PPL,populated place
599612,http://pleiades.stoa.org/places/599612,Ephesus/Arsinoe(ia),"cemetery, gymnasium, archaeological-site, city-gate, settlement",-1200,2000,315971,http://sws.geonames.org/315971/,,distance,0.607,precise,"settlement, architecturalcomplex",RUIN,ruin(s)
599612,http://pleiades.stoa.org/places/599612,Ephesus/Arsinoe(ia),"cemetery, gymnasium, archaeological-site, city-gate, settlement",-1200,2000,7522155,http://sws.geonames.org/7522155/,,bbox,0.0,precise,"settlement, architecturalcomplex",ANS,archaeological/prehistoric site
599616,http://pleiades.stoa.org/places/599616,Europos/Euromos/Philippoi,settlement,-550,640,315146,http://sws.geonames.org/315146/,,distance,0.488,precise,settlement,RUIN,ruin(s)
599636,http://pleiades.stoa.org/places/599636,Halicarnassus/Halikarnassos,"settlement, port, monument",-550,2100,11361439,http://sws.geonames.org/11361439/,Bodrum,distance,1.578,precise,"settlement, port",PRT,port
599636,http://pleiades.stoa.org/places/599636,Halicarnassus/Halikarnassos,"settlement, port, monument",-550,2100,320995,http://sws.geonames.org/320995/,,distance,0.944,precise,"settlement, port",PPLA2,seat of a second-order administrative division
599636,http://pleiades.stoa.org/places/599636,Halicarnassus/Halikarnassos,"settlement, port, monument",-550,2100,7733242,http://sws.geonames.org/7733242/,,distance,7.344,precise,"settlement, port",ADM2,second-order administrative division
