qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q17013672,fish reproduction,Q3427333|Q5454658,animal reproduction|fish physiology,,,,,926594,,sh85048800,,,,FishReproduction,,,
Q8248157,fisheries biology,Q420|Q1772875|Q1420050,biology|wildlife biology|fisheries science,,,,,,,,,,,,,,
Q5454893,fisheries management,Q5283295,administration,,,,,,,sh85048696,,,,,,,
Q1420050,fisheries science,Q105575840|Q110231626,"natural resources|agricultural, veterinary and food sciences",,,,,,4401603-7,sh2005020061,,,,,,,
Q104780425,fjord ecology,Q7150|Q104200509|Q4530312,ecology|coastal ecology|marine ecology,,,,,926896,,sh95007651,,,,,,QH541.5.F56,
Q2518760,flamencology,Q164204,musicology,,,,,,,,,,,,,,
Q5458994,flexible solar cell research,,,,,,,,,,,,,,,,
Q5459269,flight dynamics,Q128030,dynamics,,,Q360475|Q758207,flight dynamics|flight dynamics,,,,,,,,,,
Q104780569,floodplain ecology,Q7150|Q20417087|Q104780631,ecology|freshwater ecology|valley ecology,,,,,927542,,sh85049162,,,,,,QH541.5.V3,
Q30594891,floral biology,Q441,botany,,,,,,,,,,,,,,
Q107708708,flower morphology,Q655362,plant morphology,,,,,927888,,sh85049342,,,,,,,
Q216320,fluid dynamics,Q128030|Q172145,dynamics|fluid mechanics,,,Q8424|Q12016129,aerodynamics|hydrodynamics,,,sh85049376,532.05,,00045372n,,,,
Q172145,fluid mechanics,Q193463,continuum mechanics,Q193463|Q113210559,continuum mechanics|fluid mechanics and thermal engineering,Q6593690|Q31191973,aeromechanics|hydromechanics,927999,4077970-1,sh85049383,532,,00035430n,FluidMechanics,,,
Q113210559,fluid mechanics and thermal engineering,Q11023,engineering,,,Q172145|Q2585592,fluid mechanics|thermal engineering,,,,,,,,,,
Q185571,fluidics,,,Q12016129,hydrodynamics,,,,,,,,,,,,
Q106148879,flute performance,Q6942562,musical performance,,,,,,,,,,,,,,
Q65235465,fluvial geomorphology,Q20638505,hydrogeomorphology,,,,,,,,,,,,,,
