id,label,federation,domain,uri,concept_ref,text_ref,survey_depth,is_seed,lcc,oclc,lccn
2022047215,"The Roman elite and the end of the Republic : the boni, the nobles and Cicero",worldcat,roman_republic,http://lccn.loc.gov/2022047215,,http://lccn.loc.gov/2022047215,0,False,DG83.3,,2022047215
2022047214,"The Roman elite and the end of the Republic : the boni, the nobles and Cicero",worldcat,roman_republic,http://lccn.loc.gov/2022047214,,http://lccn.loc.gov/2022047214,0,False,DG83.3 .M68 2022,,2022047214
63008076,"Early Rome and the Latins,",worldcat,roman_republic,http://lccn.loc.gov/63008076,,http://lccn.loc.gov/63008076,0,False,DG231 .A7,,63008076
93042802,Slavery and society at Rome,worldcat,roman_republic,http://lccn.loc.gov/93042802,,http://lccn.loc.gov/93042802,0,False,HT863 .B7 1994,,93042802
99166994,Hunger and the sword : warfare and food supply in Roman Republican wars (264-30 B.C.),worldcat,roman_republic,http://lccn.loc.gov/99166994,,http://lccn.loc.gov/99166994,0,False,DG89 .E73 1998,,99166994
98004886,Celt and Roman : the Celts of Italy,worldcat,roman_republic,http://lccn.loc.gov/98004886,,http://lccn.loc.gov/98004886,0,False,DG225.C44 E44 1998,,98004886
2023302069,Before Augustus : the collapse of the Roman Republic,worldcat,roman_republic,http://lccn.loc.gov/2023302069,,http://lccn.loc.gov/2023302069,0,False,MLCM 2023/43864,,2023302069
52007893,A history of the Roman world from 753 to 146 B.C.,worldcat,roman_republic,http://lccn.loc.gov/52007893,,http://lccn.loc.gov/52007893,0,False,DG231 .S35 1951,,52007893
07006413,"Early Rome,",worldcat,roman_republic,http://lccn.loc.gov/07006413,,http://lccn.loc.gov/07006413,0,False,DG231 .I3 1886,,07006413
2016429816,Rome spreads her wings : territorial expansion between the Punic Wars,worldcat,roman_republic,http://lccn.loc.gov/2016429816,,http://lccn.loc.gov/2016429816,0,False,DG241 .S26 2016,,2016429816
70395384,"Primitive Italy and the beginnings of Roman imperialism,",worldcat,roman_republic,http://lccn.loc.gov/70395384,,http://lccn.loc.gov/70395384,0,False,DG209 .H653 1968,,70395384
70126762,The rise of Rome to 264 B.C.,worldcat,roman_republic,http://lccn.loc.gov/70126762,,http://lccn.loc.gov/70126762,0,False,DG231 .H4613 1973,,70126762
a12000467,"A history of Rome, from the earliest times to the establishment of the empire.",worldcat,roman_republic,,,http://lccn.loc.gov/a12000467,0,False,DG231 .L71 1868,,a12000467
05008477,"The Roman history: with notes, historical, geographical, and critical;",worldcat,roman_republic,http://lccn.loc.gov/05008477,,http://lccn.loc.gov/05008477,0,False,DG208 .C36,,05008477
2006277145,The early history of Rome : books I-V of The history of Rome from its foundations,worldcat,roman_republic,http://lccn.loc.gov/2006277145,,http://lccn.loc.gov/2006277145,0,False,PA6452 .A5 2005,,2006277145
05008484,The history of Rome.,worldcat,roman_republic,http://lccn.loc.gov/05008484,,http://lccn.loc.gov/05008484,0,False,DG231 .A754,,05008484
62006183,A history of the Roman world from 753 to 146 B.C.,worldcat,roman_republic,http://lccn.loc.gov/62006183,,http://lccn.loc.gov/62006183,0,False,DG231 .S35 1961,,62006183
94018379,Epic in Republican Rome,worldcat,roman_republic,http://lccn.loc.gov/94018379,,http://lccn.loc.gov/94018379,0,False,PA6054 .G65 1995,,94018379
2020707110,The earliest Romans : a character sketch,worldcat,roman_republic,http://lccn.loc.gov/2020707110,,http://lccn.loc.gov/2020707110,0,False,DG78,,2020707110
2019054209,"Regional Urban Systems in the Roman World, 150 BCE-250 CE",worldcat,roman_republic,http://lccn.loc.gov/2019054209,,http://lccn.loc.gov/2019054209,0,False,DG82 .R44 2020,,2019054209
2023505654,"A culture of Civil War? : ""Bellum civile"" and political communication in Late Republican Rome",worldcat,roman_republic,http://lccn.loc.gov/2023505654,http://id.loc.gov/authorities/subjects/sh85115094,http://lccn.loc.gov/2023505654,0,False,DG268 .C88 2023,,2023505654
2010054277,Roman republican theatre,worldcat,roman_republic,http://lccn.loc.gov/2010054277,,http://lccn.loc.gov/2010054277,0,False,PA6067 .M36 2011,,2010054277
