property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P478,volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,"Q18608359,Q21099935,Q61719275",Wikidata property to indicate a source | Wikidata property with datatype string that is not an external identifier | Q61719275,UNKNOWN,,,False,False,0.5,3
P479,input device,input device used to interact with a software or a device,"Q21126229,Q119301849",Wikidata property related to software | Q119301849,TECHNOLOGICAL,,TECHNOLOGICAL,False,False,0.8,2
P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,Q29542094,Wikidata property to identify films,UNKNOWN,,,False,False,0.5,1
P481,Palissy ID,identifier in the Palissy database of moveable objects of French cultural heritage,"Q18618628,Q44847669",Wikidata property for authority control for cultural heritage | Wikidata property to identify artworks,ARTISTIC,CULTURAL,"ARTISTIC,CULTURAL",False,False,0.8,2
P483,recorded at studio or venue,studio or location where a musical composition/release was recorded,"Q18615777,Q22965078",Wikidata property to indicate a location | Wikidata property for items about musical works,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,2
P484,"IMA Number, broad sense","identifier for a mineral per the International Mineralogical Association - Commission on New Minerals, Nomenclature and Classification (IMA-CNMNC)","Q18614948,Q24041781",Wikidata property for authority control | Wikidata property related to mineralogy,UNKNOWN,,,False,True,0.7,2
P485,archives at,the institution holding the subject's archives,"Q22964126,Q18608359,Q74568206",Wikidata property for participating organizations | Wikidata property to indicate a source | Wikidata property related to archives,UNKNOWN,,,False,False,0.5,3
P486,MeSH descriptor ID,identifier for Descriptor or Supplementary concept in the Medical Subject Headings controlled vocabulary,"Q19887775,Q18614948,Q22988603,Q110682839",Wikidata property related to medicine | Wikidata property for authority control | Wikidata property related to biology | Q110682839,UNKNOWN,,,False,True,0.7,4
P487,Unicode character,"Unicode character representing the item (only if this is not a control character or a compatiblity character: in that case, use only P4213)",Q21099935,Wikidata property with datatype string that is not an external identifier,UNKNOWN,,,False,False,0.5,1
P488,chairperson,"presiding member of an organization, group or body",Q18608993,Wikidata property for items about organizations,UNKNOWN,,,False,False,0.5,1
P489,currency symbol description,item with description of currency symbol,Q21451178,Wikidata property related to economics,ECONOMIC,,ECONOMIC,False,False,0.8,1
P490,provisional designation,designation of an astronomical body after its discovery and before its official name,"Q21451142,Q67155279",Wikidata property for items about astronomical objects | Wikidata property of an identifier with a date,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,2
P491,orbit diagram,image with the diagram of the orbit of an astronomical body,"Q18610173,Q21451142,Q26940804",Wikidata property to link to Commons | Wikidata property for items about astronomical objects | Wikidata property for linking to a representative image,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,3
P492,OMIM ID,"Online ""Mendelian Inheritance in Man"" catalogue codes for diseases, genes, or phenotypes","Q19887775,Q42415497",Wikidata property related to medicine | Wikidata property to identify genes,UNKNOWN,,,False,False,0.5,2
