seed_qid,seed_label,delta_qid,delta_label,backlink_hits
Q3952,Late Republic (periodization),Q106075492,Rudolf Zschweigert,1
Q3952,Late Republic (periodization),Q106138396,Florian Bittner,1
Q3952,Late Republic (periodization),Q106292030,Saxon industrial history locally and regionally: current research results,1
Q3952,Late Republic (periodization),Q106419770,Q106419770,1
Q3952,Late Republic (periodization),Q106684875,Jonas Kühn,1
Q3952,Late Republic (periodization),Q106890695,Spitzenmode aus dem Vogtland. Katalogband zur Bedeutung der Kunstschule Plauen für die Textilindustrie der Region und darüber hinaus,1
Q3952,Late Republic (periodization),Q107180,Rudolf Friedrichs,1
Q3952,Late Republic (periodization),Q107259,Emil Pleissner,1
Q3952,Late Republic (periodization),Q107348,Friedrich Wilhelm Putzger,1
Q3952,Late Republic (periodization),Q107437,Christian Bahmann,1
Q3952,Late Republic (periodization),Q1079699,Christian Friedrich Wehner,1
Q3952,Late Republic (periodization),Q107986724,Otto Biedermann,1
Q3952,Late Republic (periodization),Q1079898,Christian Gottfried Hermann,1
Q3952,Late Republic (periodization),Q107995822,Willy Heitmüller,1
Q3952,Late Republic (periodization),Q1079965,Christian Gottlieb Pfretzschner,1
Q3952,Late Republic (periodization),Q1081479,Christian Pulz,1
Q3952,Late Republic (periodization),Q108185,Hermann Baum,1
Q3952,Late Republic (periodization),Q1082226,Christian Wandrey,1
Q3952,Late Republic (periodization),Q1082677,Christiane Gotte,1
Q3952,Late Republic (periodization),Q1083733,Christine Ostrowski,1
Q3952,Late Republic (periodization),Q108381623,Steffen Zenner,1
Q3952,Late Republic (periodization),Q108381772,Alte Plauener Straße,1
Q3952,Late Republic (periodization),Q108811918,Johannes Adelhelm Dietzel,1
Q3952,Late Republic (periodization),Q109015018,Plauener Straße,1
Q3952,Late Republic (periodization),Q109518865,Liesel Fischer,1
Q3952,Late Republic (periodization),Q109661257,Wolfgang Schmidt,1
Q3952,Late Republic (periodization),Q109750375,Volker Melchior,1
Q3952,Late Republic (periodization),Q109750460,Anneliese Schöfbeck,1
Q3952,Late Republic (periodization),Q1097592,Claudia Loerding,1
Q3952,Late Republic (periodization),Q109943920,Curieuse Reise-Beschreibung des Herrn Androphili,1
Q3952,Late Republic (periodization),Q109943924,Geographische Reise durch Deutschland,1
Q3952,Late Republic (periodization),Q109943932,Reise von Braunschweig nach Karlsbad und durch Böhmen in Briefen von Eduard und Karl,1
Q3952,Late Republic (periodization),Q109943952,Meine neueste Reise zu Wasser und Land oder ein Bruchstück aus der Geschichte meines Lebens,1
Q3952,Late Republic (periodization),Q109943953,Neues Handbuch für Reisende jeder Gattung durch Deutschland und die angränzenden Länder,1
Q3952,Late Republic (periodization),Q109944002,Karl Wertheims Reise durch Kursachsen,1
Q3952,Late Republic (periodization),Q109944006,"Die vornehmsten europäischen Reisen, wie solche auf eine nützliche und bequeme Weise anzustellen sind",1
Q3952,Late Republic (periodization),Q109944023,Meine Fußreisen im Jahre 1809 zur Zeit des österreichischen Krieges,1
Q3952,Late Republic (periodization),Q109944065,Reise mit der Armee im Jahre 1809,1
Q3952,Late Republic (periodization),Q109944102,"Briefe über Polen, Österreich, Sachsen, Bayern, Italien, Etrurien, den Kirchenstaat und Neapel, an die Comtesse Constance de S.",1
Q3952,Late Republic (periodization),Q109944112,Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise,1
Q3952,Late Republic (periodization),Q109944115,"Erzählungen von einer Reise durch einen großen Theil Deutschlands und der Schweiz, im Jahre 1796",1
Q3952,Late Republic (periodization),Q109944123,Auszug einer Reise durch einen Theil von Sachsen,1
Q3952,Late Republic (periodization),Q109944139,Briefe eines Reisenden aus Sachsen,1
Q3952,Late Republic (periodization),Q110276356,Plauen (Vogtl)-Straßberg railway stop,1
Q3952,Late Republic (periodization),Q110277630,Jößnitz railway stop,1
Q3952,Late Republic (periodization),Q110278912,Plauen Zellwolle railway stop,1
Q3952,Late Republic (periodization),Q110278920,Plauen (Vogtl) Mitte railway stop,1
Q3952,Late Republic (periodization),Q110523501,Walter Süss,1
Q3952,Late Republic (periodization),Q110567634,Werner Döhler,1
Q3952,Late Republic (periodization),Q110614,Christoph Pezel,1
Q3952,Late Republic (periodization),Q110738255,Wilhelm Anton Freytag,1
Q3952,Late Republic (periodization),Q111035023,Hartmut Löschner,1
Q3952,Late Republic (periodization),Q1110454,Peter Richter,1
Q3952,Late Republic (periodization),Q111091,Karl Lämmermann,1
Q3952,Late Republic (periodization),Q111225756,Georg Liebig,1
Q3952,Late Republic (periodization),Q111282783,Insights into 900 years of Plauen's town history,1
Q3952,Late Republic (periodization),Q111358776,Friedrich W. Haussner,1
Q3952,Late Republic (periodization),Q111551351,Dorfkirche Straßberg,1
Q3952,Late Republic (periodization),Q111720516,Eduard Meysel,1
Q3952,Late Republic (periodization),Q111830,Lothar Gruchmann,1
Q3952,Late Republic (periodization),Q112175494,Reißiger Straße 1,1
Q3952,Late Republic (periodization),Q112190750,Siegfried Steinhäuser,1
Q3952,Late Republic (periodization),Q112210960,Plauener Straße,1
Q3952,Late Republic (periodization),Q112262668,Johann Friderich,1
Q3952,Late Republic (periodization),Q112376877,Frank Weiss,1
Q3952,Late Republic (periodization),Q112501436,John Skolle,1
Q3952,Late Republic (periodization),Q112503175,Paul Weidlich,1
Q3952,Late Republic (periodization),Q112504360,Johann Gottfried Steinhäuser,1
Q3952,Late Republic (periodization),Q112544690,Jörg Nowotny,1
Q3952,Late Republic (periodization),Q112550866,Heide Hönig,1
Q3952,Late Republic (periodization),Q113083335,Q113083335,1
Q3952,Late Republic (periodization),Q113117948,Q113117948,1
Q3952,Late Republic (periodization),Q113275544,Werner Otto Bachmann,1
Q3952,Late Republic (periodization),Q113399053,Johann Paul Doerffel,1
Q3952,Late Republic (periodization),Q113704854,Q113704854,1
Q3952,Late Republic (periodization),Q113704883,"Church of the Redeemer, Plauen",1
Q3952,Late Republic (periodization),Q113722330,Herbert Daniel Schaedel,1
Q3952,Late Republic (periodization),Q113736391,Andreas Freye,1
Q3952,Late Republic (periodization),Q113759812,Klaus Wappler,1
Q3952,Late Republic (periodization),Q113762540,Gottfried Schleinitz,1
Q3952,Late Republic (periodization),Q113767262,Friedrich-Wilhelm Trebge,1
Q3952,Late Republic (periodization),Q113774694,Brigitte Tasche,1
Q3952,Late Republic (periodization),Q113775095,Bernd Wirkus,1
Q3952,Late Republic (periodization),Q113775098,Lutz Rogler,1
Q3952,Late Republic (periodization),Q113782318,Marga Arndt,1
Q3952,Late Republic (periodization),Q113801923,Inge Schiller,1
Q3952,Late Republic (periodization),Q113820901,Erwin Wienecke,1
Q3952,Late Republic (periodization),Q113838117,Cornelia Mügge,1
Q3952,Late Republic (periodization),Q113843999,Alexandra Grüttner-Wilke,1
Q3952,Late Republic (periodization),Q114195707,Memories of feeling free,1
Q3952,Late Republic (periodization),Q1145283,Curt Rambach,1
Q3952,Late Republic (periodization),Q1146800,Jürgen Weitzel,1
Q3952,Late Republic (periodization),Q115324328,Klaus Scheuch,1
Q3952,Late Republic (periodization),Q1157291,Dagmar Kaselitz,1
