qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q315682,Ahrensburg Castle,Q23413,castle,yes,Q751876|Q23413,château|castle,,,,,31,10,P10832|P12823|P131|P1329|P137|P1435|P149|P1566|P17|P18|P186|P214|P227|P244|P2671|P2900|P31|P3311|P373|P47|P5252|P5775|P6102|P625|P6375|P8168|P8189|P856|P8592|P935|P968
Q316178,Schwanenburg,Q23413,castle,yes,Q23413|Q751876,castle|château,,,,,15,5,P11702|P131|P1435|P17|P18|P227|P2671|P31|P373|P402|P454|P625|P910|P935|P9957
Q316382,Heidecksburg,Q23413,castle,yes,Q23413|Q53536964,castle|royal palace,,,,,26,14,P1004|P10626|P10689|P10832|P12754|P12884|P131|P1435|P1612|P17|P18|P2092|P214|P227|P31|P373|P5383|P5652|P5816|P625|P6375|P646|P691|P7561|P856|P9725
Q316822,Reuland Castle,Q23413,castle,yes,Q23413|Q17715832,castle|castle ruin,,,,,19,6,P11729|P12823|P12884|P131|P1435|P17|P18|P1889|P276|P281|P31|P373|P402|P5942|P625|P6375|P646|P910|P935
Q317023,Falkenstein Castle,Q23413,castle,yes,Q23413,castle,,,Q450566,Romanesque Road,29,14,P11729|P12823|P12884|P131|P1343|P1435|P1566|P17|P1705|P18|P2002|P214|P227|P244|P31|P361|P373|P5383|P571|P625|P646|P8168|P8189|P856|P8933|P910|P9148|P935|P9957
Q317064,Mylau Castle,Q23413,castle,yes,Q23413|Q3947,castle|house,,,,,18,7,P12823|P131|P1343|P1435|P17|P1708|P18|P214|P31|P373|P4839|P571|P625|P6375|P646|P935|P9725|P9957
Q317926,Palace Staufeneck,Q23413,castle,yes,Q23413|Q16823155,castle|Schloss,,,,,17,7,P131|P1435|P1566|P17|P18|P214|P227|P2326|P2817|P31|P373|P4244|P527|P625|P6375|P646|P9339
Q317959,Dankwarderode Castle,Q23413,castle,yes,Q23413|Q33506,castle|museum,,,Q678082,Herzog Anton Ulrich Museum,33,15,P1015|P10689|P12884|P131|P1343|P137|P1435|P149|P17|P18|P214|P227|P244|P276|P3065|P31|P361|P373|P5019|P527|P5383|P5556|P571|P625|P646|P7900|P791|P8168|P8189|P84|P856|P910|P935
Q317987,Schloss Neuburg (Bayern),Q23413,castle,yes,Q23413,castle,,,,,24,10,P10832|P131|P1329|P1435|P149|P17|P18|P214|P227|P244|P31|P373|P4244|P466|P527|P5383|P625|P6375|P646|P691|P8189|P856|P910|P9339
Q318146,Mecklenburg Castle,Q23413,castle,yes,Q23413,castle,,,,,12,5,P131|P1435|P17|P18|P214|P227|P244|P31|P373|P625|P646|P8189
Q92026,Japanese castle,Q23413,castle,no,Q23413,castle,Q57821,fortification,,,17,3,P1282|P1424|P149|P17|P18|P2354|P279|P31|P349|P373|P487|P646|P8408|P8933|P8989|P910|P948
Q220437,Camelot,Q23413,castle,no,Q23413|Q1134237,castle|royal court,,,,,26,20,P10832|P10883|P12749|P12800|P13591|P1417|P17|P18|P1889|P214|P227|P244|P31|P3365|P3417|P373|P4342|P5063|P5905|P6385|P646|P7959|P8189|P8313|P8408|P8814
