qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q15670,Sor River,Q4022,river,yes,Q4022,river,,,,,10,3,P1667|P17|P18|P2671|P31|P373|P402|P403|P4614|P625
Q15671,Zêzere River,Q4022,river,yes,Q4022,river,,,,,21,8,P12385|P1296|P1566|P17|P18|P2043|P2053|P2326|P242|P31|P373|P402|P403|P4614|P625|P646|P7305|P8313|P885|P910|P974
Q15673,Rio Ocreza,Q4022,river,yes,Q4022,river,,,,,11,3,P1667|P17|P18|P2043|P2671|P31|P373|P402|P403|P4614|P625
Q15675,River Sever,Q4022,river,yes,Q4022,river,,,,,13,3,P1667|P17|P18|P2671|P31|P373|P402|P403|P4614|P469|P625|P706|P885
Q15676,River Ponsul,Q4022,river,yes,Q4022,river,,,,,10,1,P131|P17|P18|P2671|P31|P373|P403|P4614|P625|P974
Q15677,River Erges,Q4022,river,yes,Q4022,river,,,,,11,2,P17|P18|P2671|P31|P373|P402|P403|P4614|P625|P885|P974
Q71555,Imele,Q4022,river,no,Q4022,river,,,,,6,1,P17|P18|P2671|P31|P373|P403
Q71636,Tasso,Q4022,river,no,Q4022,river,,,,,4,1,P17|P2671|P31|P403
Q337,Lake Chaubunagungamaug,Q23397,lake,yes,Q23397,lake,,,,,30,10,P12800|P131|P1448|P154|P1566|P17|P1705|P18|P2043|P2044|P2046|P2049|P205|P214|P244|P30|P31|P373|P3938|P402|P4511|P460|P4614|P590|P625|P646|P7772|P8189|P948|P949
Q1062,Lake Ontario,Q23397,lake,yes,Q23397,lake,,,Q7347|Q119515,Great Lakes|Canada–United States border,76,42,P10|P10046|P1200|P12086|P1225|P12385|P12800|P1296|P131|P13139|P1343|P13591|P1417|P1465|P1566|P1667|P17|P1705|P1792|P18|P200|P201|P2043|P2044|P2046|P2049|P205|P2053|P207|P214|P2163|P2234|P227|P2326|P242|P244|P2547|P2924|P3020|P31|P3417|P361|P373|P3749|P402|P4342|P4511|P4614|P4619|P4801|P5008|P5019|P5063|P527|P5395|P5573|P590|P5905|P6058|P625|P646|P691|P7305|P7502|P7867|P8168|P8189|P821|P8408|P8814|P8826|P8989|P910|P948|P950|P9545
Q1066,Lake Superior,Q23397,lake,yes,Q211302|Q6341928|Q23397,glacial lake|rift lake|lake,,,Q7347|Q119515|Q136774434,Great Lakes|Canada–United States border|Lake Superior region,80,50,P10046|P10227|P10376|P12086|P1225|P12385|P12800|P1296|P131|P13139|P1343|P13591|P1417|P1566|P1667|P17|P1705|P18|P1889|P200|P2004|P201|P2043|P2044|P2046|P2049|P205|P2053|P207|P214|P2163|P2234|P227|P2326|P242|P244|P2581|P2789|P2924|P3020|P31|P3222|P3417|P361|P373|P3749|P3984|P402|P4342|P4511|P4614|P4619|P4839|P5008|P5019|P5063|P5252|P527|P5395|P590|P5905|P6058|P625|P646|P691|P7305|P7471|P7502|P7867|P7982|P8189|P821|P8313|P8349|P8408|P8714|P8814|P910|P950|P9957
Q1169,Lake Michigan,Q23397,lake,yes,Q23397,lake,,,Q1377732|Q7347,Lake Michigan–Huron|Great Lakes,66,40,P10046|P10376|P10565|P10832|P12086|P1225|P12385|P12800|P1296|P131|P1343|P13591|P1424|P1566|P1667|P17|P18|P200|P201|P2043|P2044|P2046|P2049|P205|P207|P214|P2163|P2234|P227|P244|P2547|P2581|P2924|P3020|P31|P3222|P3417|P361|P373|P3749|P3984|P402|P4342|P4511|P4614|P4619|P5008|P5063|P527|P5573|P590|P5905|P6058|P625|P646|P6771|P7305|P7502|P7867|P7901|P8189|P8313|P8408|P8814|P910|P950
