qid,qid_label,property_pid,property_label,statement_index,rank,value_qid,value_label,periodo_ids
Q3125096,Meiji period,P31,instance of,0,normal,Q24706,Japanese era name,8m57hsw5p
Q3125096,Meiji period,P31,instance of,1,normal,Q7310094,reign,8m57hsw5p
Q3125096,Meiji period,P31,instance of,2,normal,Q11514315,historical period,8m57hsw5p
Q338199,Late Cretaceous,P31,instance of,0,normal,Q312468,series,9qtgwdffp
Q338199,Late Cretaceous,P31,instance of,1,normal,Q754897,epoch,9qtgwdffp
Q3641960,Bombing of Rome in World War II,P31,instance of,0,normal,Q841418,strategic bombing,6c6g3pmfn
Q4096987,British Bronze Age,P31,instance of,0,normal,Q816829,periodization,kh9ds7q8m
Q419594,Akkad period,P31,instance of,0,normal,Q11514315,historical period,7ffbf6hdp
Q419594,Akkad period,P31,instance of,1,normal,Q465299,archaeological culture,7ffbf6hdp
Q419594,Akkad period,P31,instance of,2,normal,Q11042,culture,7ffbf6hdp
Q419594,Akkad period,P31,instance of,3,normal,Q1292119,style,7ffbf6hdp
Q42005,Black Death,P31,instance of,0,normal,Q3241045,disease outbreak,pgmrbmd5t
Q42005,Black Death,P31,instance of,1,normal,Q12184,pandemic,pgmrbmd5t
Q428995,Hellenistic period,P31,instance of,0,normal,Q11514315,historical period,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,1,normal,Q11042,culture,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,2,normal,Q1792644,art style,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,3,normal,Q3448837,middle chronology,7ffbfhnns
Q44626,Cretaceous,P31,instance of,0,normal,Q392928,period,9qtgwjxcm
Q44626,Cretaceous,P31,instance of,1,normal,Q403523,system,9qtgwjxcm
Q45805,Jurassic,P31,instance of,0,normal,Q392928,period,9qtgwqzkr
Q45805,Jurassic,P31,instance of,1,normal,Q403523,system,9qtgwqzkr
Q476855,Mau Mau Uprising,P31,instance of,0,normal,Q1323212,insurgency,06c6g3nkk
Q478301,Hussite Wars,P31,instance of,0,normal,Q1827102,religious war,6c6g3vnns
Q486761,classical antiquity,P31,instance of,0,normal,Q11514315,historical period,8m57hmxmp
Q486761,classical antiquity,P31,instance of,1,normal,Q1292119,style,8m57hmxmp
Q499312,Late Jurassic,P31,instance of,0,normal,Q754897,epoch,9qtgwc56b
Q499312,Late Jurassic,P31,instance of,1,normal,Q312468,series,9qtgwc56b
Q500054,Middle Jurassic,P31,instance of,0,normal,Q754897,epoch,9qtgwhqph
Q500054,Middle Jurassic,P31,instance of,1,normal,Q312468,series,9qtgwhqph
Q530828,Rhaetian,P31,instance of,0,normal,Q1123245,stage,9qtgwkwhr
Q530828,Rhaetian,P31,instance of,1,normal,Q568683,age,9qtgwkwhr
Q540479,Pliensbachian,P31,instance of,0,normal,Q1123245,stage,9qtgw3hf7
Q540479,Pliensbachian,P31,instance of,1,normal,Q568683,age,9qtgw3hf7
Q622265,Aptian,P31,instance of,0,normal,Q1123245,stage,9qtgw8qq8
Q622265,Aptian,P31,instance of,1,normal,Q568683,age,9qtgw8qq8
Q623429,Reconstruction Era,P31,instance of,0,normal,Q186081,time interval,6c6g3m8jh
Q623429,Reconstruction Era,P31,instance of,1,normal,Q188686,military occupation,6c6g3m8jh
Q633834,Hettangian,P31,instance of,0,normal,Q1123245,stage,9qtgwrf75
Q633834,Hettangian,P31,instance of,1,normal,Q568683,age,9qtgwrf75
Q638530,Texas Revolution,P31,instance of,0,normal,Q3119121,revolutionary war,6c6g3fdwd
Q663355,Berriasian,P31,instance of,0,normal,Q1123245,stage,9qtgwk2jt
Q663355,Berriasian,P31,instance of,1,normal,Q568683,age,9qtgwk2jt
Q677316,Social War of 91-87 BCE,P31,instance of,0,normal,Q198,war,6c6g3rjxq
Q689128,Haitian Revolution,P31,instance of,0,normal,Q10931,revolution,6c6g3xsmz
Q689128,Haitian Revolution,P31,instance of,1,normal,Q1155622,slave rebellion,6c6g3xsmz
Q707364,Count's Feud,P31,instance of,0,normal,Q1348385,war of succession,6c6g339fj
Q731470,Eoarchean,P31,instance of,0,normal,Q630830,era,9qtgwckcw
Q731470,Eoarchean,P31,instance of,1,normal,Q2464485,erathem,9qtgwckcw
Q7403398,Saladin in Egypt,P31,instance of,0,normal,Q11514315,historical period,6c6g37thw
Q752187,Early Cretaceous,P31,instance of,0,normal,Q312468,series,9qtgwjphz
Q752187,Early Cretaceous,P31,instance of,1,normal,Q754897,epoch,9qtgwjphz
Q776775,Keiō,P31,instance of,0,normal,Q24706,Japanese era name,8m57hk9w6
Q776775,Keiō,P31,instance of,1,normal,Q11514315,historical period,8m57hk9w6
Q791313,Bathonian,P31,instance of,0,normal,Q1123245,stage,9qtgwcdrv
Q791313,Bathonian,P31,instance of,1,normal,Q568683,age,9qtgwcdrv
Q843329,Valanginian,P31,instance of,0,normal,Q1123245,stage,9qtgwdxkh
Q843329,Valanginian,P31,instance of,1,normal,Q568683,age,9qtgwdxkh
Q8663,Korean War,P31,instance of,0,normal,Q198,war,6c6g3gspp
Q8690,Cultural Revolution,P31,instance of,0,normal,Q10931,revolution,6c6g3bsbt
Q8690,Cultural Revolution,P31,instance of,1,normal,Q119328980,cultural revolution,6c6g3bsbt
Q8690,Cultural Revolution,P31,instance of,2,normal,Q5193493,culture change,6c6g3bsbt
Q911869,Sinemurian,P31,instance of,0,normal,Q1123245,stage,9qtgwgbxh
Q911869,Sinemurian,P31,instance of,1,normal,Q568683,age,9qtgwgbxh
Q914363,Toarcian,P31,instance of,0,normal,Q1123245,stage,9qtgww5hb
Q914363,Toarcian,P31,instance of,1,normal,Q568683,age,9qtgww5hb
Q917293,Late Triassic,P31,instance of,0,normal,Q312468,series,9qtgw6h9p
Q917293,Late Triassic,P31,instance of,1,normal,Q754897,epoch,9qtgw6h9p
Q94080,Time of Troubles,P31,instance of,0,normal,Q11514315,historical period,6c6g383b7
Q952881,Second French intervention in Mexico,P31,instance of,0,normal,Q1168287,intervention,6c6g34nfc
