qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q110209565,Early Dynastic IIIb,hierarchy,P156,followed by,0,normal,Q419594,Akkad period,,7ffbfjtm2
Q111656626,Bronsålder Period I,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2frbvn2
Q111656626,Bronsålder Period I,hierarchy,P361,part of,0,normal,Q1471923,Early Bronze Age,,vn2frbvn2
Q111656626,Bronsålder Period I,temporal,P580,start time,0,normal,,time=-1700-00-00T00:00:00Z;precision=8,time=-1700-00-00T00:00:00Z;precision=8,vn2frbvn2
Q111656626,Bronsålder Period I,temporal,P582,end time,0,normal,,time=-1500-00-00T00:00:00Z;precision=8,time=-1500-00-00T00:00:00Z;precision=8,vn2frbvn2
Q111656626,Bronsålder Period I,hierarchy,P155,follows,0,normal,Q1340637,Final Neolithic in Central Europe,,vn2frbvn2
Q111656626,Bronsålder Period I,hierarchy,P156,followed by,0,normal,Q111656882,Bronsålder Period II,,vn2frbvn2
Q111656626,Bronsålder Period I,temporal,P9350,PeriodO period ID,0,normal,,vn2frbvn2,vn2frbvn2,vn2frbvn2
Q111656882,Bronsålder Period II,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2frzrfs
Q111656882,Bronsålder Period II,hierarchy,P361,part of,0,normal,Q1471923,Early Bronze Age,,vn2frzrfs
Q111656882,Bronsålder Period II,hierarchy,P155,follows,0,normal,Q111656626,Bronsålder Period I,,vn2frzrfs
Q111656882,Bronsålder Period II,temporal,P580,start time,0,normal,,time=-1500-00-00T00:00:00Z;precision=8,time=-1500-00-00T00:00:00Z;precision=8,vn2frzrfs
Q111656882,Bronsålder Period II,temporal,P582,end time,0,normal,,time=-1300-00-00T00:00:00Z;precision=8,time=-1300-00-00T00:00:00Z;precision=8,vn2frzrfs
Q111656882,Bronsålder Period II,hierarchy,P156,followed by,0,normal,Q111657246,Bronsålder Period III,,vn2frzrfs
Q111656882,Bronsålder Period II,temporal,P9350,PeriodO period ID,0,normal,,vn2frzrfs,vn2frzrfs,vn2frzrfs
Q111657246,Bronsålder Period III,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2fr68nx
Q111657246,Bronsålder Period III,hierarchy,P361,part of,0,normal,Q1471923,Early Bronze Age,,vn2fr68nx
Q111657246,Bronsålder Period III,hierarchy,P155,follows,0,normal,Q111656882,Bronsålder Period II,,vn2fr68nx
Q111657246,Bronsålder Period III,temporal,P580,start time,0,normal,,time=-1300-00-00T00:00:00Z;precision=8,time=-1300-00-00T00:00:00Z;precision=8,vn2fr68nx
Q111657246,Bronsålder Period III,temporal,P582,end time,0,normal,,time=-1100-00-00T00:00:00Z;precision=8,time=-1100-00-00T00:00:00Z;precision=8,vn2fr68nx
Q111657246,Bronsålder Period III,hierarchy,P156,followed by,0,normal,Q111657361,Bronsålder Period IV,,vn2fr68nx
Q111657246,Bronsålder Period III,temporal,P9350,PeriodO period ID,0,normal,,vn2fr68nx,vn2fr68nx,vn2fr68nx
Q111657361,Bronsålder Period IV,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,vn2frrx4q
Q111657361,Bronsålder Period IV,hierarchy,P361,part of,0,normal,Q1758757,Late Bronze Age (Europe),,vn2frrx4q
Q111657361,Bronsålder Period IV,hierarchy,P155,follows,0,normal,Q111657246,Bronsålder Period III,,vn2frrx4q
