qid,label,periodo_ids,property_count,property_ids,p31_qids,p31_labels,p279_qids,p361_qids,geo_edge_props,geo_objects
Q12554,Middle Ages,vn2frpf43,105,P1014 | P10283 | P1036 | P10376 | P1051 | P10565 | P11137 | P1151 | P11924 | P12043 | P12086 | P1225 | P12288 | P1245 | P1248 | P1256 | P12596 | P1269 | P12800 | P1282 | P13059 | P1343 | P13461 | P13469 | P13535 | P13613 | P1368 | P1417 | P1482 | P155 | P156 | P1617 | P18 | P1810 | P2163 | P227 | P2347 | P244 | P2579 | P2581 | P268 | P276 | P279 | P2924 | P31 | P3219 | P3222 | P3241 | P3417 | P3553 | P3569 | P373 | P3827 | P3847 | P3911 | P3916 | P4212 | P4306 | P4342 | P486 | P5008 | P5063 | P508 | P5125 | P5198 | P527 | P580 | P582 | P5905 | P6058 | P6262 | P6363 | P6366 | P6404 | P6412 | P646 | P6520 | P6573 | P672 | P6839 | P691 | P7033 | P7305 | P7326 | P7712 | P7786 | P7842 | P7847 | P8168 | P8189 | P8313 | P8408 | P8432 | P8472 | P8713 | P8814 | P8885 | P9084 | P910 | P9223 | P9346 | P935 | P9350 | P948 | P9495,Q17522177 | Q11514315,age | historical period,Q2198855,,P276,Q46:Europe
Q127751,Wars of the Roses,6c6g3crgz,53,P1036 | P10565 | P10913 | P11137 | P11514 | P12086 | P12385 | P12582 | P1296 | P1343 | P13591 | P1368 | P1417 | P1424 | P1617 | P17 | P18 | P227 | P244 | P2581 | P268 | P276 | P2924 | P31 | P3219 | P3365 | P3417 | P3569 | P373 | P4223 | P4342 | P5008 | P5063 | P508 | P580 | P582 | P585 | P5905 | P6385 | P646 | P691 | P710 | P7305 | P8189 | P8313 | P8408 | P8814 | P8885 | P9000 | P910 | P9350 | P948 | P950,Q198 | Q8465,war | civil war,,,P17 | P276,Q179876:Kingdom of England
Q131987978,Romano-British period,kh9ds9nsj,8,P155 | P17 | P276 | P279 | P31 | P580 | P582 | P9350,Q816829,periodization,Q125510349,,P17 | P276,Q145:United Kingdom | Q23666:Great Britain
Q1325419,Genji,8m57h7cc2,10,P155 | P156 | P17 | P1814 | P2348 | P31 | P580 | P582 | P646 | P9350,Q24706,Japanese era name,,,P17,Q17:Japan
Q133610270,British Neolithic,kh9dshs59,8,P156 | P17 | P1889 | P279 | P31 | P580 | P582 | P9350,Q816829,periodization,Q6993183,,P17,Q145:United Kingdom
Q15224558,Euromaidan,6c6g3bc6j,45,P10 | P1120 | P12086 | P12385 | P1296 | P1299 | P131 | P1343 | P13591 | P138 | P1382 | P1417 | P1542 | P156 | P1617 | P17 | P18 | P227 | P2347 | P244 | P268 | P269 | P2716 | P276 | P31 | P3222 | P3365 | P361 | P3712 | P373 | P41 | P5008 | P527 | P5582 | P580 | P582 | P585 | P625 | P6293 | P646 | P691 | P7666 | P8189 | P910 | P9350,Q686984 | Q175331 | Q273120 | Q45382,civil disorder | demonstration | protest | coup d'état,,Q16918333,P131 | P17 | P276,Q1899:Kyiv | Q212:Ukraine | Q863759:Maidan Nezalezhnosti
Q182688,Victorian era,kh9dsxp46,38,P10283 | P11408 | P11924 | P12385 | P1296 | P1343 | P13591 | P1417 | P1424 | P155 | P156 | P1617 | P17 | P18 | P227 | P2347 | P244 | P2579 | P2581 | P31 | P3219 | P3417 | P3553 | P373 | P3827 | P3984 | P5063 | P580 | P582 | P6366 | P646 | P6839 | P8189 | P8406 | P8687 | P8785 | P910 | P9350,Q11514315 | Q186408,historical period | point in time,,,P17,Q8680:British Empire
Q204023,Sengoku period,6c6g3cq26,36,P1014 | P1269 | P13591 | P138 | P1382 | P1417 | P1534 | P1617 | P17 | P1705 | P1889 | P2354 | P244 | P2581 | P268 | P31 | P3417 | P349 | P361 | P373 | P3827 | P580 | P582 | P6104 | P6404 | P646 | P6900 | P8189 | P828 | P8408 | P8885 | P9000 | P9080 | P910 | P9350 | P950,Q11514315,historical period,,Q334845 | Q130436,P17,Q17:Japan
Q208297,Irish War of Independence,6c6g3xtnj,21,P10913 | P12800 | P13591 | P1417 | P18 | P2163 | P244 | P268 | P276 | P2924 | P31 | P3417 | P373 | P527 | P580 | P582 | P646 | P691 | P8189 | P910 | P9350,Q1006311 | Q21994376,war of national liberation | war of independence,,,P276,Q22890:Ireland
Q209297,Farroupilha Revolution,6c6g3bpt7,19,P13591 | P18 | P2163 | P244 | P276 | P2924 | P31 | P3417 | P361 | P373 | P4839 | P580 | P582 | P6404 | P646 | P710 | P8189 | P910 | P9350,Q8465,civil war,,Q15112333,P276,Q1060042:South Region
